Date,Rice_Thai_5pct,Rice_Thai_25pct,Rice_Thai_A1,Rice_Vietnamese_5pct,Oil_Dubai_Oman_USD_per_bbl,Inflation_Asia_Avg_pct,Population_Growth_Asia_Avg_pct,Population_Total_Asia_Avg_millions,ENSO_Nino34_Anomaly,Fertilizer_Composite_USD_per_mt,ENSO_Phase,Crisis_2008_Financial,Crisis_2011_Food,COVID_Period,Ukraine_Conflict,Asia_Avg_Rainfall_mm
2009-09-01,518.75,428.00,303.25,392.86,67.91,5.43,1.19,511.59,27.40,250.58,El Nino,0.00,0.00,0.00,0.00,156.49
2009-10-01,493.00,412.80,298.40,414.11,73.28,5.59,1.18,512.01,27.60,253.60,El Nino,0.00,0.00,0.00,0.00,131.46
2009-11-01,542.75,460.25,337.00,491.60,77.63,5.76,1.18,512.45,28.16,252.04,El Nino,0.00,0.00,0.00,0.00,103.23
2009-12-01,591.00,515.25,403.00,529.91,75.49,5.92,1.18,512.87,28.34,268.10,El Nino,0.00,0.00,0.00,0.00,81.65
2010-01-01,568.80,510.60,420.20,485.28,76.64,6.09,1.18,513.31,28.07,285.02,El Nino,0.00,0.00,0.00,0.00,112.85
2010-02-01,535.00,474.67,405.00,421.78,73.56,6.24,1.18,513.76,28.01,295.10,El Nino,0.00,0.00,0.00,0.00,85.35
2010-03-01,502.20,445.60,377.00,392.57,77.37,6.37,1.17,514.16,28.18,297.52,El Nino,0.00,0.00,0.00,0.00,127.79
2010-04-01,466.00,408.67,343.00,371.17,83.09,6.52,1.17,514.61,28.20,294.75,El Nino,0.00,0.00,0.00,0.00,105.66
2010-05-01,451.33,396.67,329.00,368.82,76.87,6.67,1.17,515.04,27.71,284.25,El Nino,0.00,0.00,0.00,0.00,185.13
2010-06-01,440.00,392.00,329.50,358.22,73.98,6.81,1.17,515.49,27.04,273.61,El Nino,0.00,0.00,0.00,0.00,172.84
2010-07-01,441.80,395.60,349.80,357.86,72.65,6.96,1.17,515.92,26.22,289.75,El Nino,0.00,0.00,0.00,0.00,269.08
2010-08-01,452.75,412.00,369.00,422.86,74.18,7.11,1.17,516.37,25.47,308.33,El Nino,0.00,0.00,0.00,0.00,236.53
2010-09-01,476.50,448.00,412.00,457.68,75.27,7.25,1.17,516.82,25.12,336.05,El Nino,0.00,0.00,0.00,0.00,187.23
2010-10-01,486.00,457.00,428.25,477.68,80.34,7.40,1.17,517.25,25.03,356.45,El Nino,0.00,0.00,0.00,0.00,191.81
2010-11-01,514.50,477.50,427.75,508.03,83.70,7.55,1.17,517.70,25.06,366.15,El Nino,0.00,0.00,0.00,0.00,126.43
2010-12-01,532.00,479.80,413.40,528.29,89.07,7.69,1.16,518.13,25.00,368.25,El Nino,0.00,0.00,0.00,0.00,129.77
2011-01-01,516.80,467.60,405.00,493.86,92.37,7.84,1.16,518.58,25.00,369.68,El Nino,0.00,1.00,0.00,0.00,136.53
2011-02-01,524.00,473.00,420.50,478.57,100.25,7.62,1.16,519.05,25.64,343.10,El Nino,0.00,1.00,0.00,0.00,89.72
2011-03-01,492.75,455.50,408.25,464.00,108.58,7.42,1.17,519.47,26.36,336.44,El Nino,0.00,1.00,0.00,0.00,88.83
2011-04-01,484.25,448.25,409.00,484.29,115.70,7.20,1.17,519.94,27.05,338.38,El Nino,0.00,1.00,0.00,0.00,109.21
2011-05-01,481.40,448.40,421.20,479.64,108.46,6.99,1.17,520.40,27.41,334.60,El Nino,0.00,1.00,0.00,0.00,163.23
2011-06-01,513.75,473.75,427.50,475.28,107.52,6.77,1.17,520.87,27.35,422.82,El Nino,0.00,1.00,0.00,0.00,172.33
2011-07-01,538.25,506.75,449.25,519.46,109.98,6.56,1.17,521.32,26.87,448.15,El Nino,0.00,1.00,0.00,0.00,219.54
2011-08-01,566.00,533.75,465.25,553.43,105.06,6.34,1.17,521.79,26.21,451.58,El Nino,0.00,1.00,0.00,0.00,226.08
2011-09-01,598.75,555.50,514.00,561.43,106.00,6.12,1.17,522.26,25.92,456.32,El Nino,0.00,1.00,0.00,0.00,189.38
2011-10-01,599.40,560.20,489.00,580.54,103.67,5.90,1.17,522.72,25.67,456.23,El Nino,0.00,1.00,0.00,0.00,159.18
2011-11-01,615.25,584.25,549.75,568.75,108.59,5.68,1.18,523.19,25.52,448.95,El Nino,0.00,1.00,0.00,0.00,114.15
2011-12-01,585.75,565.50,544.00,504.43,106.22,5.47,1.18,523.64,25.54,417.38,El Nino,0.00,1.00,0.00,0.00,88.76
2012-01-01,542.00,534.00,516.25,451.43,109.78,5.25,1.18,524.11,25.67,388.88,El Nino,0.00,1.00,0.00,0.00,96.90
2012-02-01,537.50,529.00,518.25,430.43,116.15,5.24,1.18,524.58,26.08,388.10,El Nino,0.00,1.00,0.00,0.00,88.34
2012-03-01,548.00,544.40,526.75,428.75,122.28,5.22,1.17,525.01,26.67,386.45,El Nino,0.00,1.00,0.00,0.00,91.12
2012-04-01,547.75,550.67,533.25,440.72,117.25,5.21,1.17,525.47,27.32,415.22,El Nino,0.00,1.00,0.00,0.00,81.34
2012-05-01,600.50,553.25,561.75,433.29,107.05,5.19,1.17,525.92,27.61,432.22,El Nino,0.00,1.00,0.00,0.00,113.64
2012-06-01,600.00,578.00,541.20,411.96,94.24,5.18,1.17,526.38,27.75,422.82,El Nino,0.00,1.00,0.00,0.00,177.07
2012-07-01,573.75,555.00,518.75,409.28,99.22,5.16,1.16,526.83,27.54,339.48,El Nino,0.00,0.00,0.00,0.00,178.09
2012-08-01,567.75,545.00,509.00,436.43,108.37,5.15,1.16,527.29,27.32,406.40,El Nino,0.00,0.00,0.00,0.00,184.97
2012-09-01,563.25,543.75,512.00,455.18,110.96,5.13,1.16,527.75,27.10,411.35,El Nino,0.00,0.00,0.00,0.00,214.03
2012-10-01,558.25,532.50,520.25,453.74,108.73,5.11,1.16,528.20,26.98,403.30,El Nino,0.00,0.00,0.00,0.00,146.94
2012-11-01,559.25,530.00,523.00,448.32,107.13,5.10,1.15,528.66,26.86,395.78,El Nino,0.00,0.00,0.00,0.00,106.71
2012-12-01,557.80,530.00,520.40,413.75,105.69,5.08,1.15,529.11,26.34,388.73,El Nino,0.00,0.00,0.00,0.00,102.99
2013-01-01,564.20,540.00,530.00,401.24,107.58,5.07,1.15,529.57,26.01,369.55,El Nino,0.00,0.00,0.00,0.00,100.26
2013-02-01,563.00,538.75,535.00,401.64,111.09,4.99,1.14,530.01,26.24,375.32,El Nino,0.00,0.00,0.00,0.00,113.51
2013-03-01,559.00,535.00,532.50,401.61,105.42,4.91,1.14,530.41,27.03,366.65,El Nino,0.00,0.00,0.00,0.00,83.74
2013-04-01,557.00,535.60,530.60,390.76,101.66,4.83,1.13,530.85,27.57,348.45,El Nino,0.00,0.00,0.00,0.00,86.60
2013-05-01,543.50,508.75,510.75,386.85,100.31,4.75,1.12,531.28,27.53,348.38,El Nino,0.00,0.00,0.00,0.00,139.45
2013-06-01,524.25,483.75,492.00,385.93,100.33,4.67,1.12,531.72,27.30,336.82,El Nino,0.00,0.00,0.00,0.00,169.41
2013-07-01,509.00,454.00,461.80,387.74,103.36,4.58,1.11,532.15,26.91,328.42,El Nino,0.00,0.00,0.00,0.00,203.54
2013-08-01,478.75,425.00,428.25,399.44,106.96,4.50,1.11,532.60,26.47,316.20,El Nino,0.00,0.00,0.00,0.00,191.13
2013-09-01,444.00,428.00,431.48,362.00,108.40,4.42,1.10,533.04,26.54,302.46,El Nino,0.00,0.00,0.00,0.00,173.27
2013-10-01,439.00,423.00,420.43,376.32,106.30,4.34,1.09,533.47,26.52,294.05,El Nino,0.00,0.00,0.00,0.00,140.02
2013-11-01,438.00,405.00,414.30,395.88,105.85,4.26,1.09,533.91,26.56,288.38,El Nino,0.00,0.00,0.00,0.00,91.86
2013-12-01,451.00,398.67,400.76,419.41,107.92,4.18,1.08,534.34,26.43,291.70,El Nino,0.00,0.00,0.00,0.00,96.22
2014-01-01,450.00,377.00,405.00,402.00,104.01,4.09,1.08,534.78,26.05,311.77,El Nino,0.00,0.00,0.00,0.00,84.16
2014-02-01,459.00,382.00,449.85,393.16,104.94,3.93,1.07,535.20,26.14,315.08,El Nino,0.00,0.00,0.00,0.00,88.49
2014-03-01,422.00,366.00,425.10,378.57,104.15,3.78,1.07,535.58,27.00,316.62,El Nino,0.00,0.00,0.00,0.00,84.93
2014-04-01,395.00,352.00,399.29,370.91,104.73,3.62,1.06,536.00,27.90,292.50,El Nino,0.00,0.00,0.00,0.00,69.61
2014-05-01,388.00,346.00,391.55,390.48,105.60,3.47,1.05,536.41,28.25,295.41,El Nino,0.00,0.00,0.00,0.00,132.92
2014-06-01,397.00,356.00,402.57,404.50,108.01,3.30,1.05,536.83,27.96,302.41,El Nino,0.00,0.00,0.00,0.00,170.86
2014-07-01,422.00,375.00,435.39,420.87,105.76,3.15,1.04,537.23,27.23,305.23,El Nino,0.00,0.00,0.00,0.00,192.55
2014-08-01,445.00,414.00,460.57,442.62,101.85,2.99,1.04,537.65,26.82,307.85,El Nino,0.00,0.00,0.00,0.00,172.34
2014-09-01,432.00,411.00,449.91,442.05,96.99,2.82,1.03,538.07,27.01,308.90,El Nino,0.00,0.00,0.00,0.00,152.86
2014-10-01,428.00,409.00,437.57,436.96,86.57,2.67,1.03,538.48,27.16,305.95,El Nino,0.00,0.00,0.00,0.00,138.51
2014-11-01,418.00,400.00,423.80,422.00,76.73,2.50,1.02,538.90,27.46,302.05,El Nino,0.00,0.00,0.00,0.00,98.38
2014-12-01,418.00,398.00,421.18,382.39,60.52,2.35,1.02,539.31,27.31,301.30,El Nino,0.00,0.00,0.00,0.00,114.39
2015-01-01,420.00,400.00,418.55,374.42,45.98,2.19,1.01,539.73,27.05,305.15,El Nino,0.00,0.00,0.00,0.00,74.05
2015-02-01,420.00,400.00,417.00,353.50,55.83,2.21,1.01,540.15,27.17,306.48,El Nino,0.00,0.00,0.00,0.00,60.20
2015-03-01,410.00,392.00,411.00,360.74,54.91,2.23,1.01,540.52,27.75,302.74,El Nino,0.00,0.00,0.00,0.00,56.11
2015-04-01,399.00,384.00,400.26,354.02,58.80,2.25,1.01,540.94,28.52,292.42,El Nino,0.00,0.00,0.00,0.00,67.64
2015-05-01,381.00,368.00,386.53,351.00,63.69,2.27,1.00,541.35,28.85,293.99,El Nino,0.00,0.00,0.00,0.00,115.99
2015-06-01,376.00,365.00,375.95,349.00,61.78,2.29,1.00,541.77,28.90,302.10,El Nino,0.00,0.00,0.00,0.00,154.89
2015-07-01,392.00,376.00,389.86,345.78,56.25,2.31,1.00,542.17,28.75,303.55,El Nino,0.00,0.00,0.00,0.00,168.46
2015-08-01,373.00,362.00,377.50,340.13,47.22,2.33,0.99,542.59,28.79,302.11,El Nino,0.00,0.00,0.00,0.00,140.23
2015-09-01,357.00,347.00,360.00,326.43,46.15,2.35,0.99,543.01,28.93,302.38,El Nino,0.00,0.00,0.00,0.00,151.34
2015-10-01,373.00,362.00,369.27,342.40,46.55,2.37,0.99,543.42,29.08,295.88,El Nino,0.00,0.00,0.00,0.00,110.83
2015-11-01,368.00,359.00,366.24,353.61,42.22,2.39,0.99,543.84,29.42,287.78,El Nino,0.00,0.00,0.00,0.00,106.61
2015-12-01,363.00,356.00,360.24,371.00,34.77,2.41,0.98,544.24,29.26,277.92,El Nino,0.00,0.00,0.00,0.00,79.44
2016-01-01,369.00,361.00,366.19,364.91,27.00,2.43,0.98,544.66,29.11,263.82,El Nino,0.00,0.00,0.00,0.00,95.97
2016-02-01,384.00,374.00,377.38,360.13,29.50,2.45,0.98,545.08,29.01,244.02,El Nino,0.00,0.00,0.00,0.00,102.77
2016-03-01,384.00,375.00,374.90,360.20,35.18,2.46,0.98,545.47,28.90,249.42,El Nino,0.00,0.00,0.00,0.00,99.06
2016-04-01,395.00,386.00,383.53,371.00,39.04,2.48,0.98,545.89,28.72,247.48,El Nino,0.00,0.00,0.00,0.00,115.99
2016-05-01,433.00,415.00,414.38,377.31,43.95,2.50,0.97,546.30,28.23,243.78,El Nino,0.00,0.00,0.00,0.00,145.95
2016-06-01,441.00,422.00,426.79,372.46,45.83,2.51,0.97,546.72,27.69,229.25,El Nino,0.00,0.00,0.00,0.00,207.84
2016-07-01,442.00,424.00,417.89,361.57,42.62,2.53,0.97,547.12,26.82,232.04,El Nino,0.00,0.00,0.00,0.00,225.85
2016-08-01,415.00,403.00,393.78,347.46,43.74,2.55,0.97,547.54,26.28,220.36,El Nino,0.00,0.00,0.00,0.00,210.09
2016-09-01,384.00,378.00,365.27,342.73,43.74,2.56,0.97,547.96,26.14,221.96,El Nino,0.00,0.00,0.00,0.00,218.33
2016-10-01,369.00,365.00,349.90,336.39,48.26,2.58,0.96,548.37,25.98,219.60,El Nino,0.00,0.00,0.00,0.00,172.00
2016-11-01,365.00,357.00,339.59,338.00,43.77,2.60,0.96,548.79,25.94,219.50,El Nino,0.00,0.00,0.00,0.00,130.57
2016-12-01,373.00,364.00,354.42,341.00,51.78,2.61,0.96,549.19,26.10,219.18,El Nino,0.00,0.00,0.00,0.00,118.58
2017-01-01,377.00,369.00,355.91,336.55,53.37,2.63,0.96,549.61,26.12,223.02,El Nino,0.00,0.00,0.00,0.00,112.19
2017-02-01,367.00,361.00,348.75,335.34,54.17,2.68,0.95,549.99,26.67,238.62,El Nino,0.00,0.00,0.00,0.00,85.69
2017-03-01,370.00,364.00,358.43,343.56,51.16,2.72,0.94,550.33,27.32,228.22,El Nino,0.00,0.00,0.00,0.00,89.91
2017-04-01,380.00,369.00,358.53,344.65,52.45,2.77,0.93,550.71,28.03,221.62,El Nino,0.00,0.00,0.00,0.00,95.91
2017-05-01,421.00,399.00,394.95,345.00,50.31,2.81,0.93,551.08,28.30,212.40,El Nino,0.00,0.00,0.00,0.00,139.43
2017-06-01,458.00,430.00,440.86,357.18,46.44,2.86,0.92,551.46,28.06,215.06,El Nino,0.00,0.00,0.00,0.00,172.29
2017-07-01,417.00,399.00,397.43,385.87,47.63,2.91,0.91,551.83,27.54,214.05,El Nino,0.00,0.00,0.00,0.00,200.08
2017-08-01,393.00,381.00,376.14,390.37,50.43,2.95,0.90,552.20,26.70,219.62,El Nino,0.00,0.00,0.00,0.00,176.45
2017-09-01,402.00,388.00,384.81,382.00,53.86,3.00,0.90,552.58,26.29,225.72,El Nino,0.00,0.00,0.00,0.00,173.37
2017-10-01,394.00,379.00,375.68,376.19,55.58,3.05,0.89,552.95,26.15,230.78,El Nino,0.00,0.00,0.00,0.00,132.92
2017-11-01,402.00,386.00,378.82,379.01,60.58,3.09,0.88,553.33,25.74,242.90,El Nino,0.00,0.00,0.00,0.00,123.33
2017-12-01,406.00,391.00,388.50,383.24,61.41,3.14,0.87,553.70,25.62,235.22,El Nino,0.00,0.00,0.00,0.00,102.98
2018-01-01,442.00,422.00,410.83,380.94,66.02,3.19,0.86,554.07,25.57,239.10,El Nino,0.00,0.00,0.00,0.00,74.91
2018-02-01,425.00,411.00,407.80,395.43,62.79,3.14,0.86,554.42,25.97,244.10,El Nino,0.00,0.00,0.00,0.00,80.62
2018-03-01,430.00,418.00,403.50,409.92,63.29,3.09,0.85,554.73,26.48,246.94,El Nino,0.00,0.00,0.00,0.00,81.78
2018-04-01,451.00,436.00,430.24,413.43,68.43,3.04,0.84,555.07,27.31,248.78,El Nino,0.00,0.00,0.00,0.00,85.44
2018-05-01,451.00,436.00,431.76,419.00,73.66,2.99,0.84,555.41,27.73,247.15,El Nino,0.00,0.00,0.00,0.00,116.37
2018-06-01,427.00,415.00,408.60,443.10,73.22,2.94,0.83,555.75,27.77,250.62,El Nino,0.00,0.00,0.00,0.00,173.87
2018-07-01,398.00,390.00,382.73,440.65,72.72,2.89,0.83,556.08,27.42,259.98,El Nino,0.00,0.00,0.00,0.00,180.69
2018-08-01,405.00,393.00,393.50,401.56,72.13,2.84,0.82,556.43,26.94,265.92,El Nino,0.00,0.00,0.00,0.00,164.50
2018-09-01,405.00,393.00,395.35,384.65,77.02,2.79,0.81,556.77,27.19,273.68,El Nino,0.00,0.00,0.00,0.00,179.45
2018-10-01,409.00,397.00,390.39,389.80,78.96,2.74,0.81,557.11,27.62,276.50,El Nino,0.00,0.00,0.00,0.00,136.42
2018-11-01,401.00,391.00,378.81,395.73,65.11,2.69,0.80,557.45,27.61,280.60,El Nino,0.00,0.00,0.00,0.00,97.92
2018-12-01,404.00,395.00,379.33,399.52,56.47,2.64,0.79,557.78,27.49,269.87,El Nino,0.00,0.00,0.00,0.00,94.36
2019-01-01,410.00,402.00,387.35,396.31,58.96,2.59,0.79,558.13,27.19,263.03,El Nino,0.00,0.00,0.00,0.00,91.27
2019-02-01,408.00,401.00,386.25,367.95,64.32,2.59,0.78,558.43,27.46,253.95,El Nino,0.00,0.00,0.00,0.00,73.76
2019-03-01,406.00,399.00,382.43,342.62,66.80,2.60,0.78,558.71,28.09,249.51,El Nino,0.00,0.00,0.00,0.00,80.97
2019-04-01,413.00,404.00,391.30,341.11,70.66,2.60,0.77,559.01,28.44,248.85,El Nino,0.00,0.00,0.00,0.00,75.45
2019-05-01,409.00,401.00,386.76,350.94,69.13,2.60,0.76,559.31,28.48,245.78,El Nino,0.00,0.00,0.00,0.00,114.01
2019-06-01,420.00,411.00,394.20,358.82,61.30,2.60,0.76,559.61,28.18,243.83,El Nino,0.00,0.00,0.00,0.00,165.39
2019-07-01,416.00,409.00,391.70,360.16,62.91,2.61,0.75,559.91,27.64,240.05,El Nino,0.00,0.00,0.00,0.00,178.95
2019-08-01,430.00,421.00,407.52,362.39,58.92,2.61,0.75,560.22,26.90,234.78,El Nino,0.00,0.00,0.00,0.00,153.28
2019-09-01,427.00,421.00,401.71,350.85,60.84,2.61,0.74,560.52,26.75,227.30,El Nino,0.00,0.00,0.00,0.00,173.31
2019-10-01,424.00,418.00,397.04,325.79,58.47,2.61,0.73,560.82,27.20,225.48,El Nino,0.00,0.00,0.00,0.00,127.84
2019-11-01,421.00,415.00,394.76,328.24,61.41,2.62,0.73,561.12,27.22,215.20,El Nino,0.00,0.00,0.00,0.00,113.75
2019-12-01,432.00,423.00,400.90,337.43,64.41,2.62,0.72,561.42,27.12,207.40,El Nino,0.00,0.00,0.00,0.00,80.66
2020-01-01,451.00,440.00,426.00,348.68,63.76,2.62,0.72,561.72,27.15,212.10,El Nino,0.00,0.00,0.00,0.00,97.93
2020-02-01,450.00,442.00,426.45,357.42,54.51,2.61,0.71,561.96,27.12,210.93,El Nino,0.00,0.00,0.00,0.00,106.36
2020-03-01,494.00,477.00,469.64,372.58,33.75,2.59,0.70,562.18,27.76,211.85,El Nino,0.00,0.00,1.00,0.00,82.93
2020-04-01,564.00,536.00,543.70,407.14,23.27,2.58,0.68,562.42,28.18,210.63,El Nino,0.00,0.00,1.00,0.00,86.10
2020-05-01,510.00,494.00,492.89,438.42,31.56,2.56,0.67,562.65,27.66,200.60,El Nino,0.00,0.00,1.00,0.00,141.76
2020-06-01,520.00,501.00,493.64,449.46,40.14,2.55,0.66,562.88,27.39,203.25,El Nino,0.00,0.00,1.00,0.00,193.42
2020-07-01,480.00,467.00,459.70,444.19,42.64,2.53,0.65,563.11,26.99,218.84,El Nino,0.00,0.00,1.00,0.00,229.37
2020-08-01,505.00,486.00,480.85,448.91,43.71,2.52,0.64,563.35,26.26,236.98,El Nino,0.00,0.00,1.00,0.00,211.86
2020-09-01,507.00,488.00,483.00,462.66,41.10,2.50,0.63,563.58,25.89,243.70,El Nino,0.00,0.00,1.00,0.00,192.61
2020-10-01,471.00,463.00,454.50,459.17,39.70,2.49,0.62,563.81,25.46,245.42,El Nino,0.00,0.00,1.00,0.00,145.91
2020-11-01,489.00,480.00,468.48,469.50,42.58,2.47,0.61,564.05,25.28,245.93,El Nino,0.00,0.00,1.00,0.00,106.41
2020-12-01,520.00,508.00,496.55,477.39,49.26,2.46,0.60,564.28,25.44,256.63,El Nino,0.00,0.00,1.00,0.00,114.65
2021-01-01,545.00,528.00,517.75,490.98,54.16,2.44,0.59,564.51,25.55,272.88,El Nino,0.00,0.00,1.00,0.00,112.05
2021-02-01,557.00,542.00,531.00,500.48,60.37,2.52,0.58,564.72,25.75,339.28,El Nino,0.00,0.00,1.00,0.00,94.93
2021-03-01,525.00,515.00,504.13,498.38,63.95,2.59,0.57,564.91,26.48,352.43,El Nino,0.00,0.00,1.00,0.00,109.70
2021-04-01,495.00,484.00,477.38,488.17,62.37,2.67,0.57,565.12,27.10,358.00,El Nino,0.00,0.00,1.00,0.00,90.18
2021-05-01,493.00,483.00,462.75,477.70,65.98,2.75,0.56,565.32,27.47,382.88,El Nino,0.00,0.00,1.00,0.00,139.71
2021-06-01,466.00,455.00,438.59,474.00,70.96,2.83,0.55,565.53,27.45,427.10,El Nino,0.00,0.00,1.00,0.00,175.02
2021-07-01,414.00,407.00,397.00,436.17,73.00,2.91,0.55,565.73,26.90,473.50,El Nino,0.00,0.00,1.00,0.00,224.08
2021-08-01,403.00,392.00,381.00,384.46,68.85,2.98,0.54,565.94,26.32,487.38,El Nino,0.00,0.00,1.00,0.00,190.76
2021-09-01,400.00,391.00,381.27,387.30,72.24,3.06,0.53,566.15,26.17,504.00,El Nino,0.00,0.00,1.00,0.00,205.23
2021-10-01,401.00,395.00,382.71,404.46,81.22,3.14,0.53,566.35,25.77,583.08,El Nino,0.00,0.00,1.00,0.00,165.29
2021-11-01,400.00,394.00,378.55,411.41,79.80,3.22,0.52,566.56,25.76,650.44,El Nino,0.00,0.00,1.00,0.00,104.19
2021-12-01,400.00,393.00,380.95,402.66,72.76,3.30,0.51,566.76,25.54,661.17,El Nino,0.00,0.00,1.00,0.00,109.59
2022-01-01,427.00,419.00,403.15,395.94,83.11,3.37,0.51,566.97,25.60,635.78,El Nino,0.00,0.00,1.00,0.00,106.08
2022-02-01,427.00,422.00,405.95,384.21,93.13,3.47,0.51,567.18,25.86,627.14,El Nino,0.00,0.00,1.00,1.00,101.19
2022-03-01,422.00,419.00,407.13,391.67,113.11,3.56,0.51,567.38,26.31,751.88,El Nino,0.00,0.00,1.00,1.00,102.08
2022-04-01,431.00,429.00,409.06,402.38,102.68,3.66,0.51,567.59,26.70,837.30,El Nino,0.00,0.00,1.00,1.00,115.57
2022-05-01,464.00,458.00,442.86,406.45,108.32,3.76,0.51,567.80,26.82,760.50,El Nino,0.00,0.00,1.00,1.00,155.94
2022-06-01,444.00,441.00,427.55,411.92,115.73,3.86,0.51,568.01,26.98,718.65,El Nino,0.00,0.00,1.00,1.00,218.83
2022-07-01,418.00,412.00,405.67,411.09,106.48,3.95,0.51,568.22,26.60,690.80,El Nino,0.00,0.00,1.00,1.00,259.49
2022-08-01,431.00,421.00,412.55,395.80,97.75,4.05,0.51,568.43,25.88,650.63,El Nino,0.00,0.00,1.00,1.00,205.44
2022-09-01,439.00,428.00,423.36,392.24,90.63,4.15,0.51,568.64,25.65,637.80,El Nino,0.00,0.00,1.00,1.00,168.93
2022-10-01,431.00,420.00,411.62,409.08,90.59,4.25,0.51,568.85,25.73,595.25,El Nino,0.00,0.00,1.00,1.00,174.54
2022-11-01,440.00,430.00,417.50,421.21,86.28,4.35,0.51,569.07,25.80,548.50,El Nino,0.00,0.00,1.00,1.00,111.87
2022-12-01,467.00,457.00,446.39,432.35,76.78,4.44,0.51,569.27,25.75,508.50,El Nino,0.00,0.00,1.00,1.00,116.20
2023-01-01,517.00,507.00,484.64,440.66,80.03,4.54,0.51,569.49,25.83,490.58,El Nino,0.00,0.00,0.00,1.00,80.40
2023-02-01,492.00,482.00,468.95,448.28,81.21,4.39,0.51,569.70,26.29,467.38,El Nino,0.00,0.00,0.00,1.00,98.12
2023-03-01,476.00,468.00,460.91,444.64,77.52,4.24,0.51,569.89,27.17,451.00,El Nino,0.00,0.00,0.00,1.00,78.52
2023-04-01,501.00,490.00,482.88,455.10,83.83,4.08,0.51,570.10,27.96,450.58,El Nino,0.00,0.00,0.00,1.00,69.81
2023-05-01,510.00,495.00,492.68,470.53,75.08,3.93,0.51,570.31,28.39,408.48,El Nino,0.00,0.00,0.00,1.00,120.98
2023-06-01,514.00,496.00,495.75,508.24,74.67,3.77,0.50,570.52,28.57,360.91,El Nino,0.00,0.00,0.00,1.00,153.29
2023-07-01,547.00,524.00,533.45,502.76,80.46,3.62,0.50,570.72,28.32,373.88,El Nino,0.00,0.00,0.00,1.00,192.58
2023-08-01,635.00,600.00,626.00,541.15,86.61,3.46,0.50,570.94,28.20,412.88,El Nino,0.00,0.00,0.00,1.00,154.52
2023-09-01,620.00,587.00,609.90,594.37,93.08,3.30,0.50,571.15,28.32,413.78,El Nino,0.00,0.00,0.00,1.00,133.47
2023-10-01,590.00,563.00,574.71,616.15,90.62,3.15,0.50,571.35,28.44,420.73,El Nino,0.00,0.00,0.00,1.00,123.18
2023-11-01,598.00,573.00,574.59,629.41,83.45,2.99,0.50,571.57,28.72,428.91,El Nino,0.00,0.00,0.00,1.00,79.69
2023-12-01,644.00,610.00,629.59,632.90,77.22,2.83,0.50,571.77,28.62,365.93,El Nino,0.00,0.00,0.00,1.00,63.65
2024-01-01,660.00,620.00,648.86,625.51,78.86,2.67,0.50,571.98,28.35,366.20,El Nino,0.00,0.00,0.00,1.00,68.73
2024-02-01,624.00,594.00,619.90,614.26,81.18,2.67,0.50,571.98,28.27,366.26,El Nino,0.00,0.00,0.00,1.00,86.03
